SMILES,VI,DVI
CC=CCC(CC=CCCOC(C=CC1CCCCC1)(COCC=CC1CCCCC1)OCOC)OCOC,243.98411493806236,148.77403974211026
CCCOC(C=CCCC1CCCCC1)OCCCC,243.98188164375543,146.06551885919492
CCC=CCCC(CC(OCC=CC1CCCCC1)(C=CC1CCCCC1)c1ccccc1)OCCCC,243.9780127714552,152.50578339164065
COCOCCCCCCCOCCCC=CCC(C=Cc1ccccc1)(CCC=Cc1ccccc1)OC(C=CCCc1ccccc1)OC(C=CCCCc1ccccc1)OC(C=CCCc1ccccc1)COC,243.95913190729715,149.51938692461087
CCCC=CCCCCOCOCCCCCC=CCCCC=CC(CC(=O)C=CC1CCCCC1)OCC1CCCCC1,243.93700014589024,150.06479638161434
CC=CCCC=CCCOCOC(C=CCCc1ccccc1)OCC=CC(=O)OC(C=CCCOCc1ccccc1)CC(=O)C=CCC(OCOC)C(=O)O,243.9314835410768,153.66252853092402
CC=CCCCCOCCCOCCCCCC=CCC(OCc1ccccc1)C(CC(=O)C=CCCCCc1ccccc1)OC(CC=CCCCCc1ccccc1)C(=O)C=CCCCCc1ccccc1,243.91813052922492,153.60049089454398
CC=CCCCCC=CCC(CC(C=CCCOCC=Cc1ccccc1)OCCC=CCCCC(OCC=CC1CCCCC1)c1ccccc1)OCc1ccccc1,243.9103844267378,150.33538486086124
CCC=CCC(C=Cc1ccccc1)CC(C=CCCC)(OCC=CC1CCCCC1)OCc1ccccc1,243.90532159800622,159.18720527549533
COCOC(CCOCCCOCCCOC(C=CC1CCCCC1)(c1ccccc1)C1CCCCC1)OCOC,243.90460829482333,152.159654999052
COCOC(CCOCCCOC(C=CC1CCCCC1)(c1ccccc1)C1CCCCC1)OCOC,243.90460829482333,152.159654999052
COCOCCOCCOC(C=CC1CCCCC1)CC(=O)CCCCCCC=CC(CC=CCOC)OCCCC1CCCCC1,243.88148666160708,165.45074183910614
